date,src,scope,rank,user,total,days,is,uniq,univ
2026-09-25,screenshot,top30,7,Leslie Cheung,0.76,49,8285,0.53,
2026-09-25,screenshot,top30,8,CH42645,0.75,31,10298,0.59,South China Normal University
2026-09-25,screenshot,top30,9,YW70391,0.73,28,9745,0.51,Chongqing University of Technology
2026-09-25,screenshot,top30,10,HL19556,0.72,46,11658,0.85,
2026-09-25,screenshot,top30,11,CW16048,0.72,46,10917,0.85,Harbin Institute of Technology
2026-09-25,screenshot,top30,12,LY76923,0.71,15,15263,0.59,
2026-09-25,screenshot,top30,13,PF72535,0.7,20,11309,0.65,
2026-09-25,screenshot,top30,14,CC99196,0.69,29,9306,0.57,
2026-09-25,screenshot,top30,15,HL14389,0.69,46,11886,0.87,Harbin Institute of Technology
2026-09-25,screenshot,top30,16,XP53031,0.69,21,13600,0.74,Tsinghua University
2026-09-25,screenshot,top30,17,Shao Fei,0.69,8,21385,0.5,Nanjing University of Science and Technology
2026-09-25,screenshot,top30,18,YL36885,0.69,19,12687,0.72,
2026-09-25,screenshot,top30,19,YY54474,0.68,46,10144,0.85,
2026-09-25,screenshot,top30,20,WW60183,0.68,12,10606,0.39,Harbin Institute of Technology
2026-09-25,screenshot,top30,21,WL77079,0.68,46,11688,0.87,
2026-09-25,screenshot,top30,22,XW31386,0.68,12,11951,0.58,
2026-09-25,screenshot,top30,23,QJ87786,0.68,9,11387,0.44,
2026-09-25,screenshot,top30,24,XW95492,0.66,6,14036,0.52,Fudan University
2026-09-25,screenshot,top30,25,yuantaotao,0.66,21,14085,0.8,
2026-09-25,screenshot,top30,26,CY21614,0.66,39,9842,0.83,
2026-09-25,screenshot,top30,27,YZ41300,0.66,9,11771,0.58,
2026-09-25,screenshot,top30,28,XD58255,0.65,10,12887,0.64,Academy for Information Technology
2026-09-25,screenshot,top30,29,SJ63724,0.65,18,16170,0.78,
2026-09-25,screenshot,top30,30,TC55061,0.65,11,9836,0.16,
2026-09-25,screenshot,me,,LJ49886 (Me),50,0.62,29,8923,0.7,not applicable
