cid,id,S,F,SF,T,R,DD,tS,band,fails,grade,universe,neutralization,decay,truncation,delay,submitted,expr
w53_a,MP1d7Nvk,3.02,3.03,6.05,0.1552,0.1558,0.0339,2.57,A,,EXCELLENT,TOP3000,SUBINDUSTRY,12,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w55_a,kqVvoRMP,2.96,3.09,6.05,0.1452,0.1587,0.034,2.58,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, industry) + group_rank(ts_av_diff(cash/assets, 45), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_delta(close, 2), industry) + rank(volume/ts_mean(volume, 60))"
w53_e,78Z3ZAe1,2.97,3.07,6.04,0.1418,0.1518,0.0327,2.59,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 50), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w54_g,78Z3Z5m5,2.97,3.07,6.04,0.1421,0.1521,0.0328,2.65,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 48), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w53_d,kqVvVxag,2.97,3.06,6.03,0.1432,0.1516,0.0328,2.32,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 40), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w55_b,JjxoNKAj,2.99,3.02,6.01,0.1579,0.1608,0.0347,2.64,A,,EXCELLENT,TOP3000,SUBINDUSTRY,12,0.08,0,N,"group_rank(fnd6_xrent/assets, industry) + group_rank(ts_av_diff(cash/assets, 45), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_delta(close, 2), industry) + rank(volume/ts_mean(volume, 60))"
w51_b,vRkZN1gG,2.94,3.06,6.0,0.1393,0.1513,0.0311,2.52,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w52_a,d5OYjqdY,2.91,3.07,5.98,0.1376,0.1527,0.0316,2.42,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 3), subindustry) + rank(volume/ts_mean(volume, 60))"
w54_a,58QrQzeM,2.96,3.0,5.96,0.1429,0.1468,0.0359,3.11,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash, 45)/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w49_d,j23orrMk,2.86,3.09,5.95,0.1165,0.1459,0.0306,2.4,A,,EXCELLENT,TOP3000,SUBINDUSTRY,20,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w54_f,JjxoxraA,2.94,3.0,5.94,0.1437,0.1494,0.0352,2.46,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 40))"
w51_c,vRkZNpEb,2.95,2.96,5.91,0.1517,0.153,0.0314,2.56,A,,EXCELLENT,TOP3000,SUBINDUSTRY,12,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w52_c,O0rR7mmR,2.93,2.98,5.91,0.1497,0.1545,0.0318,2.46,A,,EXCELLENT,TOP3000,SUBINDUSTRY,12,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 3), subindustry) + rank(volume/ts_mean(volume, 60))"
w52_d,78Z3jxx2,2.9,3.01,5.91,0.1385,0.1489,0.0304,2.58,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 50), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w53_b,3q91lvxO,3.02,2.89,5.91,0.1724,0.1574,0.0343,2.64,A,,EXCELLENT,TOP3000,SUBINDUSTRY,10,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w94_e,xAYoEXvm,3.01,2.88,5.89,0.1524,0.1393,0.0329,2.53,A,,EXCELLENT,TOP3000,SUBINDUSTRY,6,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w97_f,vRkXwvNA,3.07,2.81,5.88,0.1689,0.142,0.033,2.62,A,,EXCELLENT,TOP3000,SUBINDUSTRY,1,0.08,0,N,"ts_decay_linear(group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), 5)"
w55_g,gJQXb8bg,2.99,2.88,5.87,0.1753,0.1623,0.0351,2.72,A,,EXCELLENT,TOP3000,SUBINDUSTRY,10,0.08,0,N,"group_rank(fnd6_xrent/assets, industry) + group_rank(ts_av_diff(cash/assets, 45), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_delta(close, 2), industry) + rank(volume/ts_mean(volume, 60))"
w55_e,LL9ENRX2,2.83,3.03,5.86,0.1086,0.1429,0.0332,2.22,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"ts_decay_linear(group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), 5)"
w48_a,N1QLrPN7,2.83,3.02,5.85,0.1185,0.1422,0.0324,2.12,A,,EXCELLENT,TOP3000,SUBINDUSTRY,20,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w94_j,O0rj2Zw1,3.13,2.72,5.85,0.1918,0.1452,0.0337,2.75,A,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.05,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w52_b,ZY0g7q2d,2.84,3.0,5.84,0.1358,0.1512,0.0311,2.3,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 4), subindustry) + rank(volume/ts_mean(volume, 60))"
w52_h,qMWOjxW1,2.97,2.85,5.82,0.1687,0.1548,0.0315,2.64,A,,EXCELLENT,TOP3000,SUBINDUSTRY,10,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w94_c,N1QG2wgq,3.12,2.7,5.82,0.1937,0.1451,0.0342,2.75,A,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(dividend/(sharesout*close), subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w51_d,vRkZNpGw,2.85,2.95,5.8,0.1373,0.1474,0.0294,2.52,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 75), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w95_b,WjPRxY7x,3.2,2.6,5.8,0.226,0.1489,0.0341,2.97,A,,GOOD,TOP3000,SUBINDUSTRY,3,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w53_h,om6R6zo6,3.04,2.73,5.77,0.1975,0.159,0.0345,2.72,A,,EXCELLENT,TOP3000,SUBINDUSTRY,8,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w52_e,le8Ej0a8,2.82,2.9,5.72,0.1367,0.1449,0.0296,2.42,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 60), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w94_d,akL8gY01,3.28,2.41,5.69,0.2838,0.1533,0.035,3.29,A,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w95_c,kqVMYO86,3.28,2.41,5.69,0.2838,0.1533,0.035,3.29,A,,GOOD,TOP3000,SUBINDUSTRY,2,0.03,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w55_c,le8Evzp8,2.8,2.88,5.68,0.0997,0.1324,0.0305,1.9,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"quantile(group_rank(fnd6_xrent/assets, subindustry)) + quantile(group_rank(ts_av_diff(cash/assets, 45), subindustry)) + quantile(group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w95_e,d5O6PMAJ,3.28,2.39,5.67,0.2876,0.1531,0.0356,3.31,A,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(dividend/(sharesout*close), subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w49_h,blRJdJ6r,2.73,2.89,5.62,0.1135,0.1396,0.0296,2.54,A,,EXCELLENT,TOP3000,SUBINDUSTRY,20,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 90), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w52_f,le8Ej3kx,2.82,2.8,5.62,0.1483,0.1461,0.0293,2.69,A,,EXCELLENT,TOP3000,SUBINDUSTRY,12,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 90), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w95_a,E5vM2QN1,3.45,2.16,5.61,0.4119,0.1608,0.0313,3.62,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w96_a,6XrLnJq5,3.45,2.16,5.61,0.4119,0.1608,0.0312,3.63,A,,GOOD,TOP3000,SUBINDUSTRY,0,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w96_i,blR1lQEN,3.45,2.16,5.61,0.4119,0.1608,0.0313,3.62,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.05,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w97_b,vRkXww9G,3.45,2.16,5.61,0.4119,0.1608,0.0313,3.62,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"group_neutralize(group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), subindustry)"
w97_g,E5vPOze9,3.45,2.16,5.61,0.4119,0.1608,0.0313,3.62,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"normalize(scale(group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))))"
w100_g,xAYpXZWq,3.06,2.54,5.6,0.1842,0.1265,0.0233,3.07,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"trade_when(volume > ts_mean(volume, 60), group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)"
w94_f,QP3Aom95,2.98,2.62,5.6,0.1808,0.1398,0.037,2.86,A,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + 1.0*group_rank(ts_av_diff(cash/assets, 60), subindustry) + 1.0*group_rank(ts_av_diff(cashflow_op/enterprise_value, 30), subindustry) + 1.0*group_rank(-ts_delta(close, 15), subindustry) + 1.0*rank(volume/ts_mean(volume, 200))"
w97_c,xAYpO9qn,3.46,2.14,5.6,0.4226,0.1622,0.0303,3.54,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"quantile(group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), driver=""gaussian"")"
w96_b,A108RmPW,3.45,2.14,5.59,0.4186,0.1608,0.0316,3.66,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(dividend/(sharesout*close), subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w55_d,2rO9wZvJ,2.74,2.83,5.57,0.1182,0.133,0.0333,1.67,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"trade_when(volume > ts_mean(volume, 20), group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), -1)"
w56_e,3q91V61Z,3.05,2.52,5.57,0.2372,0.1624,0.0345,2.8,A,,GOOD,TOP3000,SUBINDUSTRY,6,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w101_e,P0ZmX82J,3.51,2.05,5.56,0.4658,0.1589,0.0402,3.71,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(-news_open_gap/close, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w102_c,QP3pnmO5,3.51,2.05,5.56,0.4659,0.1589,0.0402,3.72,A,,GOOD,TOP3000,SUBINDUSTRY,0,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(-news_open_gap/close, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w102_g,58QdLeKM,3.51,2.05,5.56,0.4658,0.1589,0.0402,3.71,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.05,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(-news_open_gap/close, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w95_f,rK5wnZ6E,3.18,2.38,5.56,0.2681,0.1498,0.0345,3.38,A,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 60), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 30), subindustry) + group_rank(-ts_delta(close, 15), subindustry) + rank(volume/ts_mean(volume, 200))"
w97_j,mLgWpLQx,3.42,2.14,5.56,0.417,0.1638,0.0299,3.23,A,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"group_rank(ts_delta(authorized_stock_buyback_amount/assets, 66), subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
