cid,id,SF,S,F,T,tS,DD,decay,maxcorr,nearest,need_S,need_who,margin,verdict,expr
w37_l,P0ZPxpEM,4.08,2.12,1.96,0.1197,1.49,0.0438,40,0.7779,9qVEA1ZV,2.706,9qVEA1ZV,-0.586,NO,"group_rank(fnd6_newqv1300_lol2q/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w68_f,MP1egvq6,4.72,2.7,2.02,0.3135,1.83,0.0419,2,0.7783,qMW92Az2,2.739,9qX3M2mq,-0.039,NO,"group_rank(fnd6_xrent/assets, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_rank(close, 10), industry)"
w67_a,vRkp2VRv,4.24,2.48,1.76,0.3085,1.89,0.0427,2,0.7787,A10a7pdY,3.014,kqjpepz8,-0.534,NO,"group_rank(liabilities_curr/assets, industry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean/assets, industry) + group_rank(-ts_rank(close, 10), industry)"
w41_b,883GYlNo,4.84,2.44,2.4,0.1111,1.68,0.0394,50,0.7788,RRV5l5Go,2.629,RRV5l5Go,-0.189,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w114_g,mLgnlgo9,4.0,2.52,1.48,0.3235,2.78,0.0481,4,0.7793,j23Pl0e5,3.575,j23Pl0e5,-1.055,NO,"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))"
w55_d,2rO9wZvJ,5.57,2.74,2.83,0.1182,1.67,0.0333,14,0.785,RRV5l5Go,3.487,mLgd6nwX,-0.747,NO,"trade_when(volume > ts_mean(volume, 20), group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), -1)"
w62_f,rK5NKRYd,4.39,2.78,1.61,0.4719,3.79,0.0718,2,0.7851,le8EAJLO,3.487,mLgd6nwX,-0.707,NO,"group_rank(fnd6_dxd2/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w40_e,78ZGmRV5,4.92,2.47,2.45,0.1152,1.71,0.0392,40,0.7856,RRV5l5Go,2.629,RRV5l5Go,-0.159,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w41_f,vRkY66xQ,4.92,2.47,2.45,0.1152,1.71,0.0392,40,0.7856,RRV5l5Go,2.629,RRV5l5Go,-0.159,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w80_c,WjPx1mjd,4.09,2.39,1.7,0.2171,1.46,0.0519,4,0.7875,e79PvPpE,3.795,0mR2K6lr,-1.405,NO,"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_cff_high - anl4_fs_detail_estimate_1qf_v4_nd_cff_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_cff_mean), subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 75), subindustry) + group_rank(-ts_delta(close, 8), subindustry) + rank(volume/ts_mean(volume, 150))"
w32_k,O0rJObeJ,4.26,2.25,2.01,0.1426,1.77,0.0623,8,0.7881,RRVLeabj,2.486,6XrbGx1L,-0.236,NO,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(fnd6_xopr/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w42_c,kqV89LJd,4.98,2.49,2.49,0.1183,1.74,0.039,35,0.7893,RRV5l5Go,2.629,RRV5l5Go,-0.139,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w87_h,xAYEYdRq,4.32,2.35,1.97,0.0899,1.43,0.029,6,0.7898,e79PvPpE,3.795,0mR2K6lr,-1.445,NO,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.35*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.35*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.35*group_rank(-ts_delta(close, 10), subindustry) + 0.35*rank(volume/ts_mean(volume, 120))"
w114_n,O0rdjnrv,4.62,2.72,1.9,0.2514,2.0,0.0431,4,0.79,akLp3pzW,3.795,0mR2K6lr,-1.075,NO,"group_rank(fnd6_tstkc/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(fnd6_lifr/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))"
w42_f,N1QK8ezq,4.98,2.48,2.5,0.1215,1.42,0.038,30,0.7904,RRV5l5Go,2.629,RRV5l5Go,-0.149,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 90))"
w55_c,le8Evzp8,5.68,2.8,2.88,0.0997,1.9,0.0305,14,0.7912,RRV5l5Go,3.487,mLgd6nwX,-0.687,NO,"quantile(group_rank(fnd6_xrent/assets, subindustry)) + quantile(group_rank(ts_av_diff(cash/assets, 45), subindustry)) + quantile(group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
f09_sector_grp,le8lQ3n7,4.49,2.53,1.96,0.2211,1.87,0.0448,8,0.792,9qX3M2mq,3.322,e79kPeEM,-0.792,NO,"group_rank(liabilities_curr/assets, sector) + rank(-ts_delta(close, 2))"
w42_e,6XrGNe8L,4.81,2.43,2.38,0.1238,1.7,0.0391,30,0.7929,RRV5l5Go,2.629,RRV5l5Go,-0.199,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 40))"
w41_a,wpYNPJld,5.06,2.52,2.54,0.1226,1.78,0.0389,30,0.7931,RRV5l5Go,2.629,RRV5l5Go,-0.109,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w114_b,P0ZLAN9J,4.61,2.76,1.85,0.2621,2.21,0.044,4,0.7935,e79PvPpE,3.795,0mR2K6lr,-1.035,NO,"group_rank(fnd6_newqv1300_fcaq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_tfvceq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
w43_g,om6Pkzak,5.08,2.53,2.55,0.1277,1.48,0.0375,25,0.7939,RRV5l5Go,2.992,rK59235m,-0.462,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 90))"
w32_h,A10QjL3l,4.18,2.39,1.79,0.2133,2.15,0.0452,8,0.7943,9qVEA1ZV,3.102,O0rZ90n1,-0.712,NO,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(fnd6_newqv1300_lol2q/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w119_b,akL0jNj1,4.28,2.6,1.68,0.2311,2.95,0.0316,4,0.7945,akLmmvPW,2.728,akLmmvPW,-0.128,NO,"group_rank(fnd6_cicurr/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))"
w43_c,883G25GW,5.1,2.54,2.56,0.1261,1.8,0.0386,27,0.795,RRV5l5Go,2.992,rK59235m,-0.452,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w43_f,j23VMQlj,4.87,2.47,2.4,0.1302,1.73,0.0386,25,0.7951,RRV5l5Go,2.992,rK59235m,-0.522,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 40))"
w67_f,KPO5mKO1,4.13,2.36,1.77,0.2746,2.44,0.0477,3,0.7959,qMW92Az2,3.795,0mR2K6lr,-1.435,NO,"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_rank(close, 10), industry)"
w42_b,vRkYPVZb,5.12,2.56,2.56,0.1289,1.82,0.0384,25,0.7963,RRV5l5Go,2.992,rK59235m,-0.432,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w43_d,QP3WoPmp,5.12,2.56,2.56,0.1289,1.82,0.0384,25,0.7963,RRV5l5Go,2.992,rK59235m,-0.432,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w43_e,GrdQ7pmP,5.12,2.56,2.56,0.1289,1.82,0.0384,25,0.7963,RRV5l5Go,2.992,rK59235m,-0.432,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w112_f,WjPrPL0G,4.44,2.63,1.81,0.2469,2.42,0.0361,4,0.797,kqVp6wnO,3.795,0mR2K6lr,-1.165,NO,"group_rank(fnd6_tstkc/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebit_low/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))"
w43_b,9qVGkOLx,5.14,2.58,2.56,0.1323,1.85,0.0382,23,0.7972,RRV5l5Go,2.992,rK59235m,-0.412,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w43_a,xAYl5pPJ,5.15,2.59,2.56,0.1342,1.87,0.0381,22,0.7975,RRV5l5Go,2.992,rK59235m,-0.402,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w42_a,RRV5P0Yn,5.21,2.63,2.58,0.1387,1.91,0.0378,20,0.7977,RRV5l5Go,3.102,O0rZ90n1,-0.472,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w44_g,d5O9POpx,5.18,2.61,2.57,0.1364,1.89,0.0379,21,0.7977,RRV5l5Go,2.992,rK59235m,-0.382,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w42_d,ZY0XNjnn,5.21,2.63,2.58,0.1387,1.91,0.0377,20,0.7978,RRV5l5Go,3.102,O0rZ90n1,-0.472,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w65_g,vRkp90Jw,4.16,2.64,1.52,0.4038,3.25,0.0447,2,0.798,N1QJPJE8,3.795,0mR2K6lr,-1.155,NO,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean/assets, subindustry) + group_rank(fnd6_newqv1300_lol2q/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w66_b,3q9kzjxN,4.12,2.67,1.45,0.4167,2.78,0.0398,2,0.7989,j23Pl0e5,3.575,j23Pl0e5,-0.905,NO,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_mean/assets, subindustry) + group_rank(fnd6_txtubxintis/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
p10_tw02_xopr,LL97eZ6m,4.02,2.29,1.73,0.1631,2.29,0.0419,8,0.7997,9qVrJkYe,2.585,0mRwgR6k,-0.295,NO,"trade_when(ts_rank(volume, 60) > 0.2, group_rank(fnd6_xopr/assets, subindustry) + rank(-ts_delta(close, 2)), -1)"
w74_i,akLGLQL9,4.28,2.77,1.51,0.4528,2.89,0.0418,2,0.8008,j23Pl0e5,3.795,0mR2K6lr,-1.025,NO,"group_rank(anl4_fs_actuals_basic_qf_nd_div_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w64_f,le856bwO,4.29,2.76,1.53,0.4169,2.9,0.0393,2,0.8018,j23Pl0e5,3.795,0mR2K6lr,-1.035,NO,"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + group_rank(fnd6_txtubxintis/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w63_c,3q9kLnGN,4.64,2.73,1.91,0.3217,2.24,0.0331,2,0.8021,mLgd6nwX,3.487,mLgd6nwX,-0.757,NO,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_rank(close, 10), subindustry)"
w71_d,E5v8P8AJ,4.6,2.75,1.85,0.3229,2.42,0.0392,3,0.8029,N1QJPJE8,2.838,QP3V2bVG,-0.088,NO,"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_netdebt_mean/assets, industry) + group_rank(liabilities_curr/assets, industry) + group_rank(-ts_delta(close, 5), industry) + rank(volume/ts_mean(volume, 90))"
w112_a,KPOAOXEE,4.31,2.51,1.8,0.2437,1.52,0.0381,4,0.804,kqVp6wnO,3.795,0mR2K6lr,-1.285,NO,"group_rank(fnd6_tstkc/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebit_low/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))"
w111_j,78ZPZWM5,4.15,2.65,1.5,0.3856,2.92,0.0463,2,0.8042,npKGgKLw,3.575,j23Pl0e5,-0.925,NO,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfo_median/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_fcf_low/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
w105_j,KPOMAjvz,4.13,2.5,1.63,0.2553,2.48,0.0335,4,0.8048,E5vx6NJP,3.575,j23Pl0e5,-1.075,NO,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_high/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_mean/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
