id,cid,SF,tS,corr,hit,neut,expr
om6jX2Xn,w114_m,4.13,2.33,0.7387,j23Pl0e5,SUBINDUSTRY,"group_rank(ts_corr(cap, ts_mean(volume, 20), 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_intc/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
xAY7oGrn,w115_c,4.36,1.91,0.7394,akLp3pzW,SECTOR,"group_rank(fnd6_intc/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))"
vRrwaX7z,x163_w27lnoqxrent_MAR,4.15,1.28,0.7398,YPbLZK2W,MARKET,"group_rank(fnd6_newqv1300_lnoq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
N1a1Ewqp,w162_04,5.11,1.73,0.7415,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.25*group_rank(volume/ts_mean(volume, 120), subindustry) + 1.25*group_rank(-ts_mean(open/ts_delay(close,1) - 1, 5), subindustry) + 1.25*group_rank(-ts_rank(returns, 5), subindustry)"
j238M38O,w27_lnoq_xrent,4.63,2.28,0.7418,XgWnklXa,SUBINDUSTRY,"group_rank(fnd6_newqv1300_lnoq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
mLmwAnW5,x164_w16602_SEC,4.82,2.16,0.7433,pwRwWoJ3,SECTOR,"1.5*group_rank(-(fnd6_newa2v1300_ni - cashflow_op)/assets, subindustry) + group_rank(operating_expense/assets, subindustry) + 2.0*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 2.0*group_rank(-ts_rank(returns, 5), subindustry)"
gJbk9V1K,x172_w164_06_TURND,4.98,2.43,0.7506,0mXm1neK,SUBINDUSTRY,"1.5*group_rank(fnd6_lqpl1/cap, subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + group_rank(volume/ts_mean(volume, 120), subindustry) + group_rank(-ts_rank(returns, 5), subindustry) + 0.75*group_rank(-ts_rank(volume/ts_mean(volume, 120), 20), subindustry)"
Grbr2YO5,w164_01,5.31,1.76,0.751,O0N0R5NY,SUBINDUSTRY,"1.5*group_rank(ts_av_diff(cash/assets,45), subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.25*group_rank(-ts_rank(returns, 5), subindustry)"
58z8dKZJ,w162_02,4.92,2.25,0.7532,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + 0.5*group_rank(-ts_delta(close, 5), subindustry) + 0.5*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 0.5*group_rank(-ts_rank(returns, 5), subindustry)"
pwRY1Ako,x162_w164_04_SEC,5.66,1.64,0.7563,pwRwWoJ3,SECTOR,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_txtubadjust/cap, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.25*group_rank(-ts_delta(close, 5), subindustry) + 1.25*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 1.25*group_rank(-ts_rank(returns, 5), subindustry)"
QPbPpA8W,w162_03,4.95,2.28,0.7622,kqoq0zed,SUBINDUSTRY,"1.5*group_rank(fnd6_newa1v1300_aol2/cap, subindustry) + group_rank(ts_av_diff(assets_curr/assets,30), subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 2.0*group_rank(-ts_delta(close, 20), subindustry) + 2.0*group_rank(volume/ts_mean(volume, 120), subindustry) + 2.0*group_rank(-ts_rank(returns, 5), subindustry)"
RRV5zJX0,w39_h,4.85,1.35,0.7623,O0rZ90n1,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
GrdZWbvO,w125_f,4.18,2.68,0.7635,akLp3pzW,SUBINDUSTRY,"group_rank(fnd6_newqv1300_spceepsp12/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_prcepsq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_cicurrq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_dxd5/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
Grd7dq80,w87_d,4.24,1.43,0.7642,e79PvPpE,SUBINDUSTRY,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.4*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.4*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.25*group_rank(-ts_delta(close, 10), subindustry) + 0.25*rank(volume/ts_mean(volume, 120))"
mLmwVok6,x172_w164_04_OVN,5.88,1.83,0.7644,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_txtubadjust/cap, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.25*group_rank(-ts_delta(close, 5), subindustry) + 1.25*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 1.25*group_rank(-ts_rank(returns, 5), subindustry) + 0.75*group_rank(-ts_rank(open/ts_delay(close, 1) - 1, 20), subindustry)"
blRJRxvl,w54_c,5.24,2.6,0.7645,O0rZ90n1,SUBINDUSTRY,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash, 45)/assets, subindustry) + group_rank(ts_av_diff(cashflow_op, 45)/enterprise_value, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
6XrkW6R5,w124_e,4.28,2.78,0.7672,akLp3pzW,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cicurrq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_dxd5/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_aqi/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
MPaPVYpM,w161_08,4.25,2.12,0.7677,kqoq0zed,SUBINDUSTRY,"1.5*group_rank(fnd6_newa1v1300_aol2/cap, subindustry) + 0.75*group_rank(-ts_delta(close, 2), subindustry) + 0.75*group_rank(volume/ts_mean(volume, 120), subindustry) + 0.75*group_rank(-ts_rank(returns, 20), subindustry)"
XgbgZLZX,w162_06,5.81,1.81,0.7678,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 0.75*group_rank(-ts_delta(close, 5), subindustry) + 0.75*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 0.75*group_rank(-ts_rank(returns, 5), subindustry)"
KPNPoMAz,w164_04,5.86,1.82,0.7698,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_txtubadjust/cap, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.25*group_rank(-ts_delta(close, 5), subindustry) + 1.25*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 1.25*group_rank(-ts_rank(returns, 5), subindustry)"
gJQgpgGM,w63_f,4.1,3.5,0.7736,le8EAJLO,SUBINDUSTRY,"group_rank(fnd6_txtubpospinc/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 3), subindustry) + rank(volume/ts_mean(volume, 60))"
kqVMGzQ8,w91_f,4.25,1.44,0.7749,6Xr2eQaJ,SUBINDUSTRY,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.30*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.30*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.30*group_rank(-ts_delta(close, 10), subindustry) + 0.30*rank(volume/ts_mean(volume, 120))"
kqVYj9X6,w87_b,4.25,1.44,0.7749,6Xr2eQaJ,SUBINDUSTRY,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.3*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.3*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.3*group_rank(-ts_delta(close, 10), subindustry) + 0.3*rank(volume/ts_mean(volume, 120))"
qMxMV8NA,w161_03,5.68,2.19,0.7766,levpXXGl,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 0.75*group_rank(-ts_delta(close, 20), subindustry) + 0.75*group_rank(-ts_rank(returns, 20), subindustry) + 0.75*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry)"
78ZP2gj1,w114_c,4.81,2.46,0.7767,akLp3pzW,SUBINDUSTRY,"group_rank(fnd6_intc/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))"
wpZKwnv2,x162_w162_06_SEC,5.35,1.29,0.7771,levpXXGl,SECTOR,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 0.75*group_rank(-ts_delta(close, 5), subindustry) + 0.75*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 0.75*group_rank(-ts_rank(returns, 5), subindustry)"
P0ZPxpEM,w37_l,4.08,1.49,0.7785,9qVEA1ZV,SUBINDUSTRY,"group_rank(fnd6_newqv1300_lol2q/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
MP1egvq6,w68_f,4.72,1.83,0.779,qMW92Az2,INDUSTRY,"group_rank(fnd6_xrent/assets, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_rank(close, 10), industry)"
vRkp2VRv,w67_a,4.24,1.89,0.7794,A10a7pdY,INDUSTRY,"group_rank(liabilities_curr/assets, industry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean/assets, industry) + group_rank(-ts_rank(close, 10), industry)"
883GYlNo,w41_b,4.84,1.68,0.7795,RRV5l5Go,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
omLmJvPl,w160_00,5.57,2.11,0.7798,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(fnd6_lqpl1/cap, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 2.0*group_rank(-ts_rank(returns, 20), subindustry)"
mLgnlgo9,w114_g,4.0,2.78,0.7799,j23Pl0e5,SUBINDUSTRY,"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))"
blRe65g6,w125_a,4.13,2.06,0.7812,kqVp6wnO,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cicurrq/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_dxd5/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_aqi/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newa2v1300_tstk/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
LLNVeOVn,m161_gJQMxZoJ,4.81,1.46,0.7834,gJQMxZoJ,MARKET,"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + group_rank(fnd6_xrent/assets, subindustry) + rank(-ts_delta(close, 2))"
6XjXk7nO,w164_06,4.8,2.47,0.7837,0mXm1neK,SUBINDUSTRY,"1.5*group_rank(fnd6_lqpl1/cap, subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + group_rank(volume/ts_mean(volume, 120), subindustry) + group_rank(-ts_rank(returns, 5), subindustry)"
e7bkoYRJ,n160_MPaPVYpM_SEC,4.1,1.88,0.7849,58znv2Y1,SECTOR,"1.5*group_rank(fnd6_newa1v1300_aol2/cap, subindustry) + 0.75*group_rank(-ts_delta(close, 2), subindustry) + 0.75*group_rank(volume/ts_mean(volume, 120), subindustry) + 0.75*group_rank(-ts_rank(returns, 20), subindustry)"
2rO9wZvJ,w55_d,5.57,1.67,0.7856,RRV5l5Go,SUBINDUSTRY,"trade_when(volume > ts_mean(volume, 20), group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), -1)"
rK5NKRYd,w62_f,4.39,3.79,0.7857,le8EAJLO,SUBINDUSTRY,"group_rank(fnd6_dxd2/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
78ZGmRV5,w40_e,4.92,1.71,0.7863,RRV5l5Go,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
vRkY66xQ,w41_f,4.92,1.71,0.7863,RRV5l5Go,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
WjPx1mjd,w80_c,4.09,1.46,0.7881,e79PvPpE,SUBINDUSTRY,"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_cff_high - anl4_fs_detail_estimate_1qf_v4_nd_cff_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_cff_mean), subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 75), subindustry) + group_rank(-ts_delta(close, 8), subindustry) + rank(volume/ts_mean(volume, 150))"
kqoEeY8P,x162_w162_03_SEC,4.77,1.93,0.7882,kqoq0zed,SECTOR,"1.5*group_rank(fnd6_newa1v1300_aol2/cap, subindustry) + group_rank(ts_av_diff(assets_curr/assets,30), subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 2.0*group_rank(-ts_delta(close, 20), subindustry) + 2.0*group_rank(volume/ts_mean(volume, 120), subindustry) + 2.0*group_rank(-ts_rank(returns, 5), subindustry)"
O0rJObeJ,w32_k,4.26,1.77,0.7888,RRVLeabj,SUBINDUSTRY,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(fnd6_xopr/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
