id,expr,S,F,T,R,DD,selfCorr,dateSubmitted,decay,neutralization,batch
A10a7pdY,"group_rank(ts_sum(if_else(close < open, volume, 0), 5)/ts_sum(volume, 5), industry) + group_rank(fnd6_mfma2_revt/assets, industry) + group_rank(-ts_rank(returns, 20), industry)",2.32,1.54,0.28,0.1234,0.0513,0.7657,2026-09-06T04:19:09-04:00,8,SUBINDUSTRY,老31个
E5v15JPJ,"group_rank(liabilities_curr/assets, industry) + group_rank(-ts_corr(close, volume, 20), industry)",1.67,1.14,0.2069,0.0969,0.0529,0.5636,2026-09-02T11:44:23-04:00,0,INDUSTRY,老31个
E5vkQ76G,"group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(-ts_rank(returns, 20), subindustry)",2.39,1.72,0.2025,0.1051,0.0327,0.5979,2026-09-07T10:12:42-04:00,8,SUBINDUSTRY,老31个
LL9n2Jp1,"group_rank(debt_st/assets, industry) + group_rank(operating_expense/assets, industry) + group_rank(-ts_rank(returns, 20), industry)",2.22,1.57,0.1791,0.0898,0.0295,0.6391,2026-09-07T05:07:36-04:00,8,SUBINDUSTRY,老31个
MP1mQRro,"group_rank(-(fnd6_newa2v1300_ni - cashflow_op)/assets, industry) + group_rank(fnd6_mfma2_revt/assets, industry) + group_rank(-ts_av_diff(close, 20), industry)",1.91,1.74,0.0934,0.1043,0.0668,0.9185,2026-09-04T00:09:35-04:00,8,INDUSTRY,老31个
N1QxNQK7,"group_rank(liabilities_curr/cap, industry) + group_rank(-ts_rank(close, 5), industry)",2.06,1.17,0.6575,0.2107,0.1764,0.7698,2026-09-02T09:22:17-04:00,0,INDUSTRY,老31个
QP3XalpK,"group_rank(-(fnd6_newa2v1300_ni - cashflow_op)/assets, industry) + group_rank(-ts_av_diff(close, 20), industry)",1.27,1.07,0.1157,0.0889,0.0623,0.6567,2026-09-03T23:57:08-04:00,8,INDUSTRY,老31个
QP7z069Q,"signed_power(liabilities_curr/assets, 0.5)",1.64,1.38,0.0194,0.0882,0.0419,0.9364,2026-08-29T11:07:01-04:00,0,INDUSTRY,老31个
RR79x16n,liabilities_curr/assets,1.47,1.16,0.0194,0.0776,0.045,0.4974,2026-08-28T22:59:15-04:00,0,INDUSTRY,老31个
RRVLeabj,"group_rank(fnd6_mfma2_revt/assets, industry) + group_rank(-ts_rank(returns, 20), industry)",1.61,1.09,0.227,0.1043,0.0578,0.5998,2026-09-04T06:17:40-04:00,8,INDUSTRY,老31个
akLqqmm6,"group_rank(ts_av_diff(cash/assets, 30), industry) + group_rank(-ts_rank(close, 5), industry) + group_rank(-ts_corr(close, volume, 20), industry)",1.71,1.23,0.2052,0.1057,0.0883,0.6759,2026-09-03T10:14:28-04:00,8,INDUSTRY,老31个
e79kPeEM,"group_rank(liabilities_curr/assets, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), industry) + group_rank(-ts_rank(close, 5), industry)",3.02,1.79,0.57,0.2002,0.0451,0.8548,2026-09-02T10:40:10-04:00,0,INDUSTRY,老31个
j23nOrVW,"group_rank(fnd6_xrent/assets, industry) + group_rank(fnd6_xopr/assets, industry) + group_rank(-ts_corr(close, volume, 20), industry)",1.92,1.51,0.0953,0.0777,0.0588,0.5773,2026-09-07T05:01:45-04:00,8,SUBINDUSTRY,老31个
kqjpepz8,"group_rank(liabilities_curr/assets, industry) + group_rank(-ts_rank(close, 5), industry)",2.74,1.42,0.6631,0.1787,0.0522,0.9208,2026-08-31T07:54:39-04:00,0,INDUSTRY,老31个
le8ddYbe,"group_rank(liabilities_curr/assets, industry) + group_rank(-ts_corr(close, volume, 20), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), industry)",2.41,1.87,0.2303,0.1383,0.0501,0.8169,2026-09-02T12:09:32-04:00,0,INDUSTRY,老31个
om6ea8j6,"group_rank(-(fnd6_newa2v1300_ni - cashflow_op)/assets, industry) + group_rank(-ts_rank(returns, 20), industry)",2.0,1.25,0.2293,0.0891,0.0523,0.5437,2026-09-04T06:14:17-04:00,8,INDUSTRY,老31个
qMW92Az2,"group_rank(liabilities_curr/cap, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), industry) + group_rank(-ts_rank(close, 10), industry)",2.32,1.6,0.464,0.221,0.1349,0.9012,2026-09-02T11:00:17-04:00,0,INDUSTRY,老31个
rKj7w0Z1,"group_rank(ts_rank(cashflow_op/enterprise_value, 60), industry)",1.6,1.24,0.1512,0.0904,0.0593,0.9667,2026-08-28T04:13:05-04:00,6,INDUSTRY,老31个
vRjG1Jzw,"group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), industry)",1.79,1.27,0.1901,0.0963,0.0558,0.884,2026-08-29T10:50:41-04:00,0,INDUSTRY,老31个
wpYgReRx,"group_rank(fnd6_mfma2_revt/assets, industry) + group_rank(-ts_av_diff(close, 20), industry)",1.54,1.41,0.1151,0.1052,0.0739,0.5919,2026-09-03T23:58:54-04:00,8,INDUSTRY,老31个
wpjoxbbd,"group_neutralize(ts_rank(cashflow_op/enterprise_value, 60), industry)",1.37,1.0,0.1574,0.0831,0.0873,0.1659,2026-08-27T23:24:00-04:00,4,INDUSTRY,老31个
QP3V2bVG,"group_rank(liabilities_curr/assets, subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))",2.58,2.0,0.1986,0.1195,0.0578,,2026-09-08T06:36:35-04:00,8,SUBINDUSTRY,0908批次5个
XgWnklXa,"group_rank(fnd6_xrent/assets, subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))",2.44,1.84,0.2014,0.1149,0.0411,,2026-09-08T06:48:15-04:00,8,SUBINDUSTRY,0908批次5个
gJQMxZoJ,"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + group_rank(fnd6_xrent/assets, subindustry) + rank(-ts_delta(close, 2))",2.67,2.4,0.143,0.1152,0.0293,,2026-09-08T07:17:55-04:00,8,SUBINDUSTRY,0908批次5个
9qVrJkYe,"group_rank(operating_expense/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + rank(-ts_delta(close, 2))",2.29,1.77,0.1555,0.0927,0.0324,,2026-09-08T07:18:20-04:00,8,SUBINDUSTRY,0908批次5个
zqYmRz0E,"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))",2.16,1.9,0.1394,0.1077,0.0443,,2026-09-08T07:24:47-04:00,12,SUBINDUSTRY,0908批次5个
YP57jVzo,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + rank(-ts_delta(close, 2))",2.14,1.91,0.1363,0.109,0.0645,0.6804,,8,SUBINDUSTRY,0909批次
YP57jVzo,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + rank(-ts_delta(close, 2))",2.14,1.91,0.1363,0.109,0.0645,,2026-09-09T03:27:30-04:00,8,SUBINDUSTRY,0909批次
0mRwgR6k,"group_rank(-ts_delta(close, 2), subindustry) + group_rank(fnd6_xopr/assets, subindustry) + rank(volume/ts_mean(volume, 60))",2.35,2.0,0.0704,0.0903,0.0412,,2026-09-09T08:05:15-04:00,40,SUBINDUSTRY,0909批次
ZY07MXgd,"group_rank(ts_av_diff(cashflow_op/enterprise_value,60),subindustry) + group_rank(fnd6_xopr/assets,subindustry) + group_rank(ts_av_diff(cash/assets,30),subindustry)",2.46,2.35,0.1115,0.1136,0.037,,2026-09-09T08:15:30-04:00,4,SUBINDUSTRY,0909批次
O0rZ90n1,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))",2.82,2.29,0.1871,0.1236,0.0306,,2026-09-09T09:02:51-04:00,8,SUBINDUSTRY,0909批次
WjPexbLZ,"group_rank(fnd6_newqv1300_ivstq/assets, subindustry) + group_rank(fnd6_newqv1300_lol2q/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))",2.32,1.79,,,,,2026-09-10T19:39:29-04:00,8,SUBINDUSTRY,0910批次
le8KY21N,"group_rank(fnd6_newqv1300_ivstq/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))",2.14,1.65,,,,,2026-09-10T19:39:29-04:00,8,INDUSTRY,0910批次
kqVJXpAl,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",2.43,1.9,0.2231,0.1361,0.0345,,2026-09-10T11:25:41-04:00,8,SUBINDUSTRY,0910批次w35_d
9qVEA1ZV,"group_rank(fnd6_newqv1300_ivstq/assets, subindustry) + group_rank(fnd6_newqv1300_lol2q/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",2.46,2.21,0.1331,0.1073,0.0354,,2026-09-11T07:03:58-04:00,20,SUBINDUSTRY,0911批次w36_b
LL98E87L,"group_rank(fnd6_newqv1300_ivstq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",2.45,2.14,0.0835,0.095,0.0374,,2026-09-11T12:49:44-04:00,40,SUBINDUSTRY,0911批次w38_a
RRV5l5Go,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",2.39,2.35,0.1122,0.1209,0.0305,,2026-09-11T13:00:16-04:00,25,SUBINDUSTRY,0911批次w39_c
e791WzbO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",2.16,1.91,0.1341,0.1053,0.0405,,2026-09-11T13:42:09-04:00,25,SUBINDUSTRY,0911批次w44_a
rK59235m,"group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",2.72,2.54,0.1526,0.1335,0.0298,,2026-09-11T22:19:05-04:00,14,SUBINDUSTRY,0912批次w50_c
le8EMjoN,"group_rank(fnd6_newqv1300_ivstq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",2.79,1.62,0.4725,0.1584,0.0457,,2026-09-12T01:20:28-04:00,2,SUBINDUSTRY,0912批次w58_f
mLgd6nwX,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 46), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 44), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",3.17,1.96,0.4703,0.1793,0.0345,,2026-09-12T01:21:03-04:00,2,SUBINDUSTRY,0912批次w57_f
9qV8l13o,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_txtubxintis/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",2.27,1.33,0.4504,0.1545,0.0618,,2026-09-12T01:40:02-04:00,2,SUBINDUSTRY,0912批次w60_h
j23Pl0e5,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_grossincome_high/assets, subindustry) + group_rank(fnd6_txtubxintis/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",3.25,1.86,0.4158,0.1357,0.0373,,2026-09-12T03:26:01-04:00,2,SUBINDUSTRY,0912批次w64_h
N1QJPJE8,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean/assets, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_delta(close, 5), industry) + rank(volume/ts_mean(volume, 90))",2.47,1.7,0.3206,0.1522,0.0561,,2026-09-12T05:41:49-04:00,3,INDUSTRY,0912批次w68_b
E5vx6NJP,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfi_low/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))",2.45,1.85,0.1954,0.1116,0.0303,,2026-09-13T04:54:59-04:00,4,SUBINDUSTRY,0913批次w77_a
6Xr2eQaJ,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + 0.5*group_rank(-ts_delta(close, 10), subindustry) + 0.5*rank(volume/ts_mean(volume, 120))",2.27,1.94,0.1307,0.0958,0.0383,,2026-09-13T09:48:59-04:00,4,SUBINDUSTRY,0913批次w85_a
e79PvPpE,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))",3.13,2.72,0.1918,0.1452,0.0337,,2026-09-13T22:19:20-04:00,4,SUBINDUSTRY,0913批次w92_d
0mR2K6lr,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(news_short_interest, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))",3.45,2.13,0.4225,0.1616,0.0309,,2026-09-14T02:01:50-04:00,1,SUBINDUSTRY,0913批次w101_f
npKGgKLw,"group_rank(fnd6_xintopt/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1""))",2.42,1.7,0.2025,0.0995,0.0402,,2026-09-14T07:37:32-04:00,4,SUBINDUSTRY,0914批次w108_e
kqVp6wnO,"group_rank(fnd6_tstkc/assets, bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_cicurr/assets, bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_intc/assets, bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",2.51,1.91,0.1904,0.1104,0.0414,,2026-09-14T10:27:49-04:00,4,SUBINDUSTRY,0914-batch116-w116_d(无vol+CAPR桶)
akLmmvPW,"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tstkc/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",2.48,1.63,0.2478,0.1076,0.032,,2026-09-14T10:49:00-04:00,4,SUBINDUSTRY,0914-batch116b-w116_e
akLp3pzW,"group_rank(fnd6_cicurr/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_intc/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",2.78,2.22,0.1778,0.1129,0.0281,,2026-09-15T05:29:52-04:00,4,SUBINDUSTRY,0915-blind-w122_a
kqoq0zed,"1.5*group_rank(fnd6_txtubadjust/cap, subindustry) + group_rank(fnd6_newa1v1300_aol2/cap, subindustry) + group_rank(fnd6_newqv1300_dpactq/cap, subindustry) + 0.75*group_rank(-ts_delta(vwap, 5), subindustry) + 0.75*group_rank(volume/ts_mean(volume, 120), subindustry)",2.02,1.83,0.1427,0.1175,0.0573,,2026-09-16T01:12:48-04:00,6,SUBINDUSTRY,0916-v3-w132_d
le8EAJLO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)) + group_rank(ts_av_diff(anl4_fs_detail_estimate_1qf_v4_nd_totassets_median/assets, 60), subindustry)",2.73,1.51,0.4708,0.1438,0.0501,0.6997,2026-09-16T03:36:51-04:00,2,SUBINDUSTRY,0916-screen-w59_b
pwRwWoJ3,"1.5*group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.5*group_rank(-ts_rank(returns, 20), subindustry) + 1.5*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry)",3.33,3.58,0.1207,0.1445,0.0305,,2026-09-16T04:03:43-04:00,10,SUBINDUSTRY,0916-v3-w158_00
O0N0R5NY,"1.5*group_rank(ts_av_diff(assets_curr/assets,30), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.25*group_rank(volume/ts_mean(volume, 90), subindustry) + 1.25*group_rank(-ts_rank(returns, 20), subindustry)",2.92,2.55,0.1552,0.1184,0.0329,,2026-09-16T04:10:41-04:00,10,SUBINDUSTRY,0916-v3-w159_01
MPaPe0oo,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(fnd6_newa1v1300_aol2/cap, subindustry) + group_rank(ts_av_diff(assets_curr/assets,30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry)",2.3,2.06,0.0996,0.1003,0.0476,0.6892,2026-09-16T04:19:46-04:00,10,SUBINDUSTRY,0916-leglab-w160_03
9qjqm3Q9,"1.5*group_rank(ts_av_diff(cash/assets,45), subindustry) + group_rank(ts_av_diff(assets_curr/assets,30), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(-ts_delta(close, 20), subindustry) + group_rank(-ts_rank(returns, 20), subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry)",2.92,2.77,0.1187,0.1122,0.0281,,2026-09-16T04:39:01-04:00,10,SUBINDUSTRY,0916-v3-w161_01
LLNL3qqm,,2.42,1.8,0.204,0.1123,0.0521,,2026-09-16T04:53:00-04:00,10,SUBINDUSTRY,0916-v3-0916-leglab-w161_05
